version,subject,condition,stim_set,total_choices,gini,entropy,max_choice,choice,choice_num
1,p141,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p141,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p142,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p142,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p142,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p142,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p142,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p142,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p142,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p142,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p143,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p143,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p143,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p143,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p143,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p143,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p143,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p143,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p144,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p144,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p144,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p144,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p144,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p144,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p144,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p144,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p145,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p145,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p145,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p145,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p145,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p145,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p145,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p145,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p146,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p146,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p146,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p146,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p146,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p146,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p146,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p146,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p147,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p147,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p147,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p147,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p147,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p147,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p147,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p147,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p148,active,1,8,0.25,1.320888343149322,3,choice1_num,1
1,p148,active,1,8,0.25,1.320888343149322,3,choice2_num,2
1,p148,active,1,8,0.25,1.320888343149322,3,choice3_num,2
1,p148,active,1,8,0.25,1.320888343149322,3,choice4_num,3
1,p148,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p148,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p148,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p148,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p149,passive,1,8,0.25,1.3208883431493221,3,choice1_num,2
1,p149,passive,1,8,0.25,1.3208883431493221,3,choice2_num,3
1,p149,passive,1,8,0.25,1.3208883431493221,3,choice3_num,2
1,p149,passive,1,8,0.25,1.3208883431493221,3,choice4_num,1
1,p149,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p149,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p149,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p149,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p150,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p150,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p150,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p150,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p150,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p150,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p150,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p150,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p151,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p151,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p151,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p151,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p151,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p151,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p151,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p151,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p152,passive,1,8,0.25,1.3208883431493221,3,choice1_num,2
1,p152,passive,1,8,0.25,1.3208883431493221,3,choice2_num,3
1,p152,passive,1,8,0.25,1.3208883431493221,3,choice3_num,2
1,p152,passive,1,8,0.25,1.3208883431493221,3,choice4_num,1
1,p152,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p152,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p152,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p152,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p153,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p153,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p153,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p153,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p153,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p153,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p153,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p153,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p154,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p154,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p154,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p154,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p154,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p154,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p154,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p154,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p155,passive,1,8,0.25,1.320888343149322,3,choice1_num,1
1,p155,passive,1,8,0.25,1.320888343149322,3,choice2_num,2
1,p155,passive,1,8,0.25,1.320888343149322,3,choice3_num,2
1,p155,passive,1,8,0.25,1.320888343149322,3,choice4_num,3
1,p155,passive,2,8,0,1.3862943611198906,2,choice1_num,2
